Longitude,Latitude,UID,ENodeBID,RSRP,RSRQ,DownloadThroughput,LatencyAverage,JitterAverage,PacketLossLostPercentage,Band,Tecnologia,Operadora
-48.4875417,-27.6766544,9983348E038EF585,480065,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480245,-102,-7,,,,,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480065,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4846383,-27.6761916,0203F16544B9D9F8,480061,,,,23.514033,4.272316,0,2600 MHz (Band 7),4G,Claro
-48.4875417,-27.6766544,9983348E038EF585,480064,-94,-7,,,,,2600 MHz (Band 7),4G,Claro
-48.4853182,-27.6760133,13720C6DEC93EF2B,480064,-111,-8,,,,,2600 MHz (Band 7),4G,Claro
-48.4853116,-27.6760848,13720C6DEC93EF2B,480061,,,,,,,2600 MHz (Band 7),4G,Claro
-48.484479,-27.6754126,DE77334F20D570FD,480064,,,,,,,2600 MHz (Band 7),4G,Claro
-48.4841519,-27.6786804,FFE53CC89AEF32A5,480064,-115,-9,,,,,1800+ MHz (Band 3),4G,Claro
-48.4852874,-27.6761804,CD4D9022DB91B06A,480063,-76,-8,,22.450138,6.250058,0,2600 MHz (Band 7),4G,Claro
-48.4844003,-27.6773147,E17240598365F767,480061,-103,-7,,26.820623,5.376169,0,2600 MHz (Band 7),4G,Claro
-48.4844448,-27.6754124,AC92C667CC9250CA,480061,-107,-10,,,,,2600 MHz (Band 7),4G,Claro
